,timestamp,source,title,description
11,2022-03-01T01:36:05Z,Justcreative.com,How To Buy NFTs in 2022 — Ultimate Guide,"In this guide, we’ll go over how you can buy an NFT on OpenSea — the largest and most popular NFT marketplace. Plus, everything you need to know with NFTs!"
12,2022-02-28T23:22:43Z,Time,"TIMEPieces Launches Artists for Peace, a Collection of Unique 1 of 1 NFTs from Over 60 Global Artists in Support of Humanitarian and Relief Efforts in Ukraine","Today, TIMEPieces, the web3 community and NFT initiative from TIME, announced Artists for Peace, a collection of unique artworks from TIMEPieces artists inspired by the spirit of the Ukrainian people. Starting today, Monday, February 28, at 5pm ET, collectors…"
13,2022-02-28T23:17:00Z,CNET,How Crypto Is Helping Ukraine Resist Russia's Invasion - CNET,The Ukranian government has raised over $12 million in bitcoin and ether in less than a week. NGOs and local initiatives have raised $6 million more.
14,2022-02-28T22:10:16Z,Techmeme.com,"Following Ukraine's request, Binance says banning Russian users would ""fly in the face of"" crypto's purpose; NFT market DMarket bans Russians and Belarusians (Maxwell Strachan/VICE)","Maxwell Strachan / VICE:
Following Ukraine's request, Binance says banning Russian users would “fly in the face of” crypto's purpose; NFT market DMarket bans Russians and Belarusians  —  Binance, the world's largest exchange, said “unilaterally” banning users…"
15,2022-02-28T18:38:28Z,Business Insider,"From sanctions to bitcoin donations, here's how crypto is playing a major role in the Ukraine war",The various moves are a sign of the times: a 21st Century world arming itself with digital currencies in an inaugural war of the crypto age.
16,2022-02-28T16:00:00Z,Motley Fool,Is Coinbase Stock a Buy After the Recent Dip?,"The company has reported profit every quarter since it went public, and yet the stock is down 48%."
17,2022-02-28T15:59:46Z,Vice News,The Crypto Revolution Is an Existential Crisis for Video Games,"An internal culture war is playing out across the video game industry, with developers (and players) pitted against executives and crypto evangelists."
18,2022-02-28T15:55:00Z,Eurogamer.net,"Civilization's Sid Meier blasts NFTs, game monetisation","Civilization creator Sid Meier, a veteran of games development, has spoken out about the industry's ongoing push towards further monetisation.Speaking to BBC News on the 30th anniversary of the original Civilization's release, Meier issued a stark warning tha…"
19,2022-02-28T15:25:56Z,Cool Hunting,Collective Bidding is Boosting The UkraineDAO 1/1 NFT Fundraiser,"Tech startup CXIP has minted a 1/1 NFT of the Ukrainian flag, with all proceeds from its sale going to Come Back Alive, an organization that will provide aid to Ukrainians civilians living in the middle of the war. CXIP launched the project as a collaboration…"
20,2022-02-28T15:25:24Z,Business Insider,Coinbase's quarterly volatility highlights rationale for diversification,"After posting strong year-end results, the crypto exchange warned that 2022 is off to a lackluster start amid drops in crypto market cap."
21,2022-02-28T15:00:06Z,Uncrate.com,Asprey x Bugatti La Voiture Noire NFT Collectibles,"Inspired by the missing fourth Bugatti Atlantic, the La Voiture Noire is a one-of-one masterpiece. Now the French automaker is working with London-based luxury goods house Asprey to create a one-of-one collectible of it. The model is made by hand..."
22,2022-02-28T14:30:18Z,Forbes,How Musicians Are Using NFTs to Revolutionize Fan Engagement,Forward-thinking artists are experimenting with Web3 tools to engage with their communities and build loyalty amongst their fans. Artists are launching NFT collections that serve as dynamic membership clubs and confer certain access rights and benefits for to…
23,2022-02-28T14:30:00Z,Dpreview.com,AP cancels sale of NFT depicting migrants on a boat amid criticism of profiting from suffering,"<table>

<tr>
<td></td>
</tr>


</table>
The Associated Press (AP), which sells non-fungible tokens (NFTs) of its photojournalism, recently canceled the sale of a video clip depicting migrants crowded together on a raft. This move comes after the independent…"
24,2022-02-28T13:00:00Z,Wired,What Are the Rules for Celebrities Promoting NFTs?,"Non-fungible tokens are the next frontier of promotional content on social media. Right now, it’s the Wild West."
25,2022-02-28T12:45:00Z,CNET,Bitcoin and Ether Are Helping Fund Ukraine's Resistance - CNET,Nearly $20 million has been raised in cryptocurrencies like bitcoin and ether since Russian forces invaded Ukraine last week.
26,2022-02-28T12:00:00Z,Forbes,Crypto Country Club Chips Into The NFT Game With Golfer Joel Dahmen Along For The Ride,"This Austin, Texas based NFT project has created a community aimed at crypto-minded golfers."
27,2022-02-28T09:50:01Z,Techmeme.com,"A look at AcadArena and other ""game guilds"" in Southeast Asia, which loan out NFTs of in-game creatures as ""scholarships"" to players of games like Axie Infinity (Rest of World)","Rest of World:
A look at AcadArena and other “game guilds” in Southeast Asia, which loan out NFTs of in-game creatures as “scholarships” to players of games like Axie Infinity  —  In just a year, guilds boosting players into NFT games raised more than $80 mil…"
28,2022-02-28T05:53:19Z,Visual.ly,nft drop,"Non fungible tokens (nfts) have gone viral such that very few people will say that they have not heard about it. Presently, it is one of the trending"
29,2022-02-28T02:04:00Z,GameSpot,Gabe Newell Comments On Crypto/NFTs: It's More About The Bad Actors And Less The Technology,"Valve founder and billionaire Gabe Newell has commented on two of the most buzzworthy topics in the tech and gaming space these days: crypto and NFTs. Speaking to Rock Paper Shotgun, Newell doubled down on his lack of excitement and enthusiasm for the crypto/…"
30,2022-02-27T22:09:50Z,Justcreative.com,10+ Different Types of NFTs – Complete List,The Non-Fungible Tokens are emerging in the future. In this article we will discuss about the various different types of NFTs including the top 10.
31,2022-02-27T16:37:05Z,PSFK,Samsung Galaxy Debuts New Products In The Metaverse,"Samsung 837, the South Korean tech company’s flagship experience center in Manhattan’s fashionable and retail-forward Meatpacking District, has added a new location – only this new shopping paradise is in the metaverse. Called Samsung 837X, the digital twin f…"
32,2022-02-27T16:17:00Z,VentureBeat,"Memento mori, metaverse: How to pass the digital manor on to your kids","As technology and the metaverse reshape our idea of what can hold value, inheritance and its legal and technological frameworks must evolve."
33,2022-02-27T15:00:00Z,Entrepreneur,Build New Wealth by Circumventing Old Money,Cryptocurrency offers a new way to create wealth without relying on old methods.
34,2022-02-26T20:43:14Z,Forbes,Ukraine Receives $4 Million In Crypto Donations Within Hours—Including $1.9 Million Tied To Julian Assange NFT Auction,"The biggest donation appears to have originated from an NFT sale intended to raise funds for WikiLeaks founder Julian Assange, according to blockchain analytics firm Elliptic."
35,2022-02-26T20:29:04Z,The Verge,How Ukrainians are fundraising in cryptocurrency,Millions of dollars of cryptocurrency have flowed into Ukraine after it was attacked by Russia. Crypto was already popular — and proponents say it gets donations to those in need faster.
36,2022-02-26T16:00:00Z,Boing Boing,Gear up for tax season with this cryptocurrency and NFT beginner's guide,"We thank our sponsor for making this content possible; it is not written by the editorial staff nor does it necessarily reflect its views.



Back in the day, investing in real estate was one of the only sure ways to build wealth over the course of a lifetime…"
37,2022-02-26T14:00:00Z,Wired,DDoS Attempts Hit Russia as Ukraine Conflict Intensifies,"Plus: Hacker recruits, NFT thefts, and more of the week’s top security news."
38,2022-02-26T11:06:44Z,HYPEBEAST,Spotify Releases “Car Thing” and Neon Launches an NFT Vending Machine in This Week’s Business and Crypto Roundup,"Many brands are starting to see a recovery despite the challenges initially brought on by the pandemic. Some businesses, especially ones that focused efforts on expanding e-commerce ventures, have even seen profits rise even higher than before.HYPEBEAST has r…"
39,2022-02-26T07:00:29Z,Fast Company,Inside Fanatics’ drive to conquer the $500 billion sports business,"How the $18 billion e-commerce MVP is now using trading cards, NFTs, and betting to rule the rest of the sports fan economy.
Over Thanksgiving break in 2020, Fanatics founder Michael Rubin flew to Detroit to spend a day with StockX founder Josh Luber. It was …"
40,2022-02-26T06:27:44Z,The Times of India,"Sotheby's NFT sale, expected to hit $30 million, suddenly canceled","The NFT boom, which some estimate to have generated more than $25 billion in sales last year, has also raised questions of an eventual NFT bust as Bitcoin and other cryptocurrencies see their values drop."
41,2022-02-26T03:43:08Z,Justcreative.com,Frequently Asked Questions about NFTs,We’ve answered 15 of the most common questions about NFTs in a simple and easy manner. You'll be on the blockchain in no time!
42,2022-02-26T03:28:56Z,Justcreative.com,Where Do you Store NFTs? How NFT Storage Works,"With the rise in Digital Ownership of valuable assets, it's very important to store NFTs the right way. We show you how and where to store your NFTs securely."
43,2022-02-26T03:15:00Z,Justcreative.com,Ultimate NFT Marketing Guide for Creators in 2022,"NFTs (Non-Fungible Tokens) sell for millions of dollars, but as a creator, how do you market them? We cover everything you'll need to know in this post."
44,2022-02-26T03:01:05Z,Justcreative.com,How to Make and Sell an NFT: A Simple Guide for Creators,"As a creator, you can reap the benefits of NFTs. That’s why we wrote a step-by-step guide on how to make and sell NFTS."
45,2022-02-26T02:52:03Z,Justcreative.com,"What is an NFT? Starter Guide for Designers, Artists & Creatives",An NFT is a unique digital item stored on a blockchain. NFT stands for non-fungible token. What does that mean? We'll dive into everything you should know.
46,2022-02-25T23:15:24Z,Small Business Trends,The Most Popular and Best Selling NFT Collections This Week,The top 10 NFTs of what is trending on nonefungible.com will give you a glimpse of what the market is doing.
47,2022-02-25T20:07:10Z,The Next Web,A beginner’s guide to joining a DAO (Decentralized Autonomous Organization),"Welcome to TNW Basics, a collection of tips, guides, and advice on how to easily get the most out of your gadgets, apps, and other stuff. The 2022 Super Bowl featured a parade of commercials for companies in the crypto industry. While the majority advertised …"
48,2022-02-25T17:46:14Z,MakeUseOf,8 Cryptocurrency-Related Job Profiles You Should Know About,"As the demand for cryptocurrency increases, so does the number of crypto jobs. Here are some non-technical cryptocurrency job profiles to consider."
49,2022-02-25T17:27:30Z,Vice News,"Crypto Community Rushes to Ukraine’s Defense Armed With NFTs, DAOs","“Web3 is positioned to help people during oppression,” wrote one crypto enthusiast. “Let’s save some lives,” wrote another."
50,2022-02-25T17:24:06Z,PetaPixel,AP Cancels NFT Sale Amid Criticisms it Would Be Profiting From Suffering,"After significant backlash, the Associated Press pulled plans to offer a video of a boat overcrowded with migrants as an NFT. The situation has called into question the ethics of selling photojournalism at all.
[Read More]"
51,2022-02-25T17:10:36Z,Pitchfork,Pussy Riot’s Nadya Forms Crypto Organization to Fund Ukrainian Aid Groups,"Nadya Tolokonnikova, Trippy Labs, and PleasrDAO members teamed up to sell NFTs in support of civilian organizations in war-struck Ukraine"
52,2022-02-25T15:19:11Z,Protocol.com,How The Frosties Rug Pull Went Down,Crypto plays on values of anonymity and community — and getting rich quick. Those helped the creator of the Frosties digital art project deceive users.
53,2022-02-25T15:00:18Z,The Guardian,Nelson Mandela paintings of life in prison to be sold as NFTs,"My Robben Island consists of five watercolours painted by former South African presidentThe contrast between the tiny austere cell on Robben Island, where Nelson Mandela spent 18 of his 27 years in jail, and the infinite diversity of the digital world could n…"
54,2022-02-25T15:00:00Z,Entrepreneur,Grammy-Nominated DJ Steve Aoki Gives a Sneak Peak Into His Electric Corner of the Metaverse,His newest project connects his close knit community in the A0K1VERSE.
55,2022-02-25T14:35:38Z,Engadget,HTC Vive's metaverse vision includes safeguards for children,"HTC's VR strategy will extend well beyond using car rides as theme parks. The company has outlined Viverse, its vision for a metaverse, and it's promising to protect children from virtual dangers in the process. Viverse itself isn't so much a holistic space s…"
56,2022-02-25T13:54:52Z,AppleInsider,"Apple's 'M2' chip, 1Password's crypto support, and more on the AppleInsider podcast","On this week's episode of the AppleInsider podcast, what to expect from Apple's ""M2"" chip compared to M1 Pro and M1 Max, 1Password now supports crypto wallets, and Spotify acquires more big names in the podcast industry.Apple has now released the fourth beta …"
57,2022-02-25T12:30:57Z,500px.com,How to safeguard your artwork or art collections on the decentralized web,"Art collectors need to be aware of how and where their artworks are stored so that they can’t be lost (or changed into something else). 
The post How to safeguard your artwork or art collections on the decentralized web appeared first on 500px."
58,2022-02-25T12:00:00Z,Motley Fool,NFTs 101: The Terms You Need to Know,Ready to invest in non-fungible tokens? Learn this key lingo first.
59,2022-02-25T11:30:00Z,Motley Fool,Why NFTs Are Like the Scam-Filled Internet of the Mid-'90s,Scammers are profiting over the excitement of investors in this new space.
60,2022-02-25T08:37:00Z,Seths.blog,Common pitfalls and myths of the new economy,It’s not high school. But some of the advice that people are embracing reminds us of those days… Things that everyone tells you that aren’t true: It’s possible to get rich quickly without taking risks (not really) Just because someone bought some crazy dog cu…
61,2022-02-25T05:45:00Z,Techmeme.com,"A look at NFT Worlds, an NFT collection of 10K unique Minecraft worlds, which has amassed over 30K ETH in trade volume, or nearly $90M, on OpenSea (Jordan Pearson/VICE)","Jordan Pearson / VICE:
A look at NFT Worlds, an NFT collection of 10K unique Minecraft worlds, which has amassed over 30K ETH in trade volume, or nearly $90M, on OpenSea  —  Multiple projects are now building on top of the 2011 video game, with ‘Minecraft’ wo…"
62,2022-02-25T01:32:10Z,Forbes,Sacramento Kings Star De’Aaron Fox Ditches Ditches NFT Project—After Pocketing $1.5 Million,"In a series of tweets today, NBA player De’Aaron Fox announced that he would be disbanding his “Swipa The Fox” NFT project—taking with him $1.5 million in user ETH."
63,2022-02-25T01:27:06Z,Forbes,AP Cancels Sale Of NFT Of Migrants Floating In Overcrowded Boat In Mediterranean,"Many found the tweet, advertising the AP’s sale of the NFT, to be in poor taste."
64,2022-02-25T00:41:00Z,The Action Network,De’Aaron Fox Abruptly Shuts Down NFT Project After $1.5 Million in Sales - The Action Network,"<ol><li>De’Aaron Fox Abruptly Shuts Down NFT Project After $1.5 Million in Sales  The Action Network
</li><li>De'Aaron Fox Addresses 'Ill Timed' NFT Project Launch, Says Kings Will Be His Focus  Bleacher Report
</li><li>Why are investors in De'Aaron Fox's N…"
65,2022-02-24T21:30:05Z,Slate Magazine,Ukraine Could Be the Most Documented War in Human History,"Less than 24 hours since Russia invaded Ukraine, we already have more information on what’s going on than we would have in a week in Iraq."
66,2022-02-24T21:30:05Z,Slate Magazine,Ukraine Could Be the Most Documented War in Human History,"Less than 24 hours since Russia invaded Ukraine, we already have more information on what’s going on than we would have in a week in Iraq."
67,2022-02-24T20:42:46Z,Rolling Stone,Leon Bridges Enters the Fashion World (and the Metaverse) In Partnership With Wrangler,"The collaboration marks a full-circle moment for the singer, who was discovered at an open mic night while wearing Wrangler jeans"
68,2022-02-24T20:42:46Z,Rolling Stone,Leon Bridges Enters the Fashion World (and the Metaverse) In Partnership With Wrangler,"The collaboration marks a full-circle moment for the singer, who was discovered at an open mic night while wearing Wrangler jeans"
69,2022-02-24T20:01:15Z,Techdirt,"No, Creating An NFT Of The Video Of A Horrific Shooting Will Not Get It Removed From The Internet","Andy Parker has experienced something that no one should ever have to go through: having a child murdered. Even worse, his daughter, Alison, was murdered on live TV, while she was doing a live news broadcast, as an ex-colleague shot her and the news station's…"
70,2022-02-24T20:01:15Z,Techdirt,"No, Creating An NFT Of The Video Of A Horrific Shooting Will Not Get It Removed From The Internet","Andy Parker has experienced something that no one should ever have to go through: having a child murdered. Even worse, his daughter, Alison, was murdered on live TV, while she was doing a live news broadcast, as an ex-colleague shot her and the news station's…"
71,2022-02-24T19:41:11Z,Motley Fool,The 3 Biggest Problems With the NFT Marketplace Today,One non-fungible token could change your life. But the marketplace isn't without risks.
72,2022-02-24T19:41:11Z,Motley Fool,The 3 Biggest Problems With the NFT Marketplace Today,One non-fungible token could change your life. But the marketplace isn't without risks.
73,2022-02-24T17:03:05Z,New York Times,"Sotheby’s NFT Sale, Expected to Hit $30 Million, Suddenly Canceled","The CryptoPunk auction was supposed to set a new benchmark for NFT prices, but instead the consignor bowed out and posted a meme on Twitter."
74,2022-02-24T17:03:05Z,New York Times,"Sotheby’s NFT Sale, Expected to Hit $30 Million, Suddenly Canceled","The CryptoPunk auction was supposed to set a new benchmark for NFT prices, but instead the consignor bowed out and posted a meme on Twitter."
75,2022-02-24T16:58:39Z,Laughingsquid.com,A Light Painted Stop Motion Skeleton Searches for Treasure Across a Variety of Different Landscapes,"""Fiat Lux"" by Darren Pearson is a long exposure stop motion animation of a light painted skeleton that seeks out treasure."
76,2022-02-24T16:58:39Z,Laughingsquid.com,A Light Painted Stop Motion Skeleton Searches for Treasure Across a Variety of Different Landscapes,"""Fiat Lux"" by Darren Pearson is a long exposure stop motion animation of a light painted skeleton that seeks out treasure."
77,2022-02-24T16:54:10Z,Creative Bloq,The NFTits Club isn't what you think it is,Art can change lives.
78,2022-02-24T16:54:10Z,Creative Bloq,The NFTits Club isn't what you think it is,Art can change lives.
79,2022-02-24T16:34:49Z,Forbes,Why NFTs Are Harder To Value And Trade Than Cryptocurrencies,"Because of their uniqueness, trading NFTs is more difficult than cybercurrencies. Learn why in this article."
80,2022-02-24T16:34:49Z,Forbes,Why NFTs Are Harder To Value And Trade Than Cryptocurrencies,"Because of their uniqueness, trading NFTs is more difficult than cybercurrencies. Learn why in this article."
81,2022-02-24T14:36:31Z,Vice News,"Texas Man Wants His Bored Ape NFT Back, Sues OpenSea for $1M","“Plaintiff’s Bored Ape has significant value; this is unquestionable,"" Timothy McKimmy's lawyer claims in the lawsuit."
82,2022-02-24T14:36:31Z,Vice News,"Texas Man Wants His Bored Ape NFT Back, Sues OpenSea for $1M","“Plaintiff’s Bored Ape has significant value; this is unquestionable,"" Timothy McKimmy's lawyer claims in the lawsuit."
83,2022-02-24T13:45:00Z,Forbes,The Legal Factors Companies Must Consider When Exploring NFTs,"In essence, the main issues surrounding NFTs are two-fold: the contracting issues accompanying the space and the compliance needs that accompany NFT sales."
84,2022-02-24T13:45:00Z,Forbes,The Legal Factors Companies Must Consider When Exploring NFTs,"In essence, the main issues surrounding NFTs are two-fold: the contracting issues accompanying the space and the compliance needs that accompany NFT sales."
85,2022-02-24T12:30:00Z,Forbes,NFTs And The Future Of The Alcoholic Beverage Industry,"It may soon be possible to see rare bottles being minted and sold as NFTs, a nascent asset class for the greater alcohol and beverage industry."
86,2022-02-24T12:30:00Z,Forbes,NFTs And The Future Of The Alcoholic Beverage Industry,"It may soon be possible to see rare bottles being minted and sold as NFTs, a nascent asset class for the greater alcohol and beverage industry."
87,2022-02-24T08:59:55Z,HYPEBEAST,John Geiger Countersues Nike Over AF1 Trademark Infringement Lawsuit,"Last August, Nike filed a lawsuit against John Geiger for its GF-01 shoe. Nike claims trademark infringement over lookalike silhouette to its ever-popular Air Force 1 Low. In the complaint filed Nike stated, ""By marketing and selling shoes using Nike's regist…"
88,2022-02-24T08:59:55Z,HYPEBEAST,John Geiger Countersues Nike Over AF1 Trademark Infringement Lawsuit,"Last August, Nike filed a lawsuit against John Geiger for its GF-01 shoe. Nike claims trademark infringement over lookalike silhouette to its ever-popular Air Force 1 Low. In the complaint filed Nike stated, ""By marketing and selling shoes using Nike's regist…"
89,2022-02-24T08:52:32Z,HYPEBEAST,Lana Rhoades Reportedly Rug Pulls CryptoSis NFT for $1.5 Million USD,Lana Rhoades has just allegedly rug pulled her CryptoSis NFT community.A week after raising $1.5 million USD for her NFT project -- her NFT was a cartoon version of herself -- it appears she has emptied $1.5 million USD worth of Ethereum from the CryptoSis wa…
90,2022-02-24T08:52:32Z,HYPEBEAST,Lana Rhoades Reportedly Rug Pulls CryptoSis NFT for $1.5 Million USD,Lana Rhoades has just allegedly rug pulled her CryptoSis NFT community.A week after raising $1.5 million USD for her NFT project -- her NFT was a cartoon version of herself -- it appears she has emptied $1.5 million USD worth of Ethereum from the CryptoSis wa…
91,2022-02-24T08:14:04Z,HYPEBEAST,Meta's New Prototype Will Let You Build Your Own Virtual World by Just Describing It,"In a recent live event, Meta CEO Mark Zuckerberg showed off a new prototype that tests the company's artificial intelligence system. Meta's latest concept moves towards ensuring the real world is on the path to bridging seamlessly with virtual worlds.The prot…"
92,2022-02-24T08:14:04Z,HYPEBEAST,Meta's New Prototype Will Let You Build Your Own Virtual World by Just Describing It,"In a recent live event, Meta CEO Mark Zuckerberg showed off a new prototype that tests the company's artificial intelligence system. Meta's latest concept moves towards ensuring the real world is on the path to bridging seamlessly with virtual worlds.The prot…"
93,2022-02-24T08:11:34Z,HYPEBEAST,Meta Plans to Build a Universal Speech Translator,"During Meta's latest Inside the Lab virtual event series, Mark Zuckerberg revealed that the company is currently working on a ""universal speech translation system"" allowing people around the world to instantaneously communicate with one other using different …"
94,2022-02-24T08:11:34Z,HYPEBEAST,Meta Plans to Build a Universal Speech Translator,"During Meta's latest Inside the Lab virtual event series, Mark Zuckerberg revealed that the company is currently working on a ""universal speech translation system"" allowing people around the world to instantaneously communicate with one other using different …"
95,2022-02-23T23:12:26Z,HYPEBEAST,Neon Introduces World’s First NFT Vending Machine,"Neon, a Solana blockchain-based NFT marketplace and gallery, announced today the launch of its NFT vending machine, according to Business Wire. Located in New York City's Financial District, the vending machine is the first of its kind in the world, marking a…"
96,2022-02-23T22:40:26Z,Idownloadblog.com,Downtime #401: A peaceful harbor,"After a long hiatus, the guys are back for a one-off episode where they catch up, talk about Cody's long fight with Covid, crypto, NFT, and just about anything not related to Apple."
97,2022-02-23T18:30:39Z,Deadline,"Heavy Metal, Range Media Partners And Joe Berlinger Team On Interactive Rock’n’Roll Centric Metaverse ‘Classick Club’","EXCLUSIVE: Sci-fi and fantasy publisher Heavy Metal, global talent representation company Range Media Partners and Oscar-nominated/Emmy-winning filmmaker Joe Berlinger have joined forces to create Classick Club, a forward-thinking blockchain, NFT and Web3 com…"
98,2022-02-23T16:40:40Z,Deadline,‘GenZeroes’: Paul “Big Show” Wight & ‘The 100’ Star Richard Harmon Among Cast To Join Sci-Fi NFT Series,"EXCLUSIVE: Wrestler and actor Paul “Big Show” Wight (AEW Dark: Elevation), Richard Harmon (The 100), Kandsye McClure (Battlestar Gallactica), Tahmoh Penikett (Battlestar Gallactica) and Bethany Brown (The 100) have joined Aleks Paunovic (Marvel’s Hawkeye) in …"
99,2022-02-23T15:30:53Z,Small Business Trends,Sotheby’s to Auction 104 CryptoPunks NFTs for $20-$30 Million,Sotheby’s is going to be auctioning 104 CryptoPunks NFTs for an estimated $20 to $30 million on February 23 at its New York City auction set.
100,2022-02-23T15:15:00Z,Forbes,Inclusivity In Web 3.0: Interoperability Of Culture,"Inclusivity is said to promote the creation of better products or services — in the case of NFTs, artwork and utility."
101,2022-02-23T14:59:50Z,Business Insider,NFT sales hit $335 million over the past week. These were the 5 best-selling digital collections.,"Total NFT sales volume hit $22 billion over the past year as artists, investors, and entrepreneurs descend upon the nascent Web3 space."
102,2022-02-23T14:53:46Z,Rolling Stone,Crypto Futurism and Pop Culture Converged at Rolling Stone Live: Los Angeles,"The party’s presenting sponsor, Coinbase collaborated with Rolling Stone on the release of an exclusive NFT"
103,2022-02-23T14:06:42Z,Android Police,Modded mobile games could go mainstream with BlueStacks' latest feature,Why let the pirates have all the fun?
104,2022-02-23T14:00:00Z,Vice News,Web3 Developers Have Found a Functioning Metaverse. It's 'Minecraft',"Multiple projects are now building on top of the 2011 video game, with 'Minecraft' world seed NFTs going for tens of thousands of dollars."
105,2022-02-23T14:00:00Z,Slashdot.org,OpenSea NFT Heist Likely Triggers Drop in Activity,"Activity on OpenSea, the world's largest marketplace for digital collectibles, likely dropped precipitously after a phishing attack that saw traders lose as much as an estimated $3 million. From a report: Trading in nonfungible tokens plummeted in recent days…"
106,2022-02-23T12:30:12Z,MakeUseOf,What Is zkSync? Can It Help to Scale Ethereum?,Ethereum's gas fees are high and it's transactions can take a long time to process. zkSync could be the answer.
107,2022-02-23T12:16:34Z,Engadget,The Morning After: This is the PlayStation VR2 headset,"Like the PlayStation 5 before it, Sony has eked out specifications and teasers for its next-generation virtual reality hardware. We saw the controllers a while back (which have now been further refined, and color-swapped to white), but finally the headset its…"
108,2022-02-23T10:56:22Z,HYPEBEAST,El Salvador Reports 30 Percent Tourism Increase After Bitcoin Adoption,"El Salvador's proliferation of Bitcoin use has been turning positive results. The country's Minister of Tourism Minister, Morena Valdez, has revealed that the tourism sector has grown 30 percent -- with many of the visitors coming from the United States. ""We …"
109,2022-02-23T09:36:38Z,HYPEBEAST,Sony Launches Aibo Robot Dog in 'Black Sesame' Edition,"Sony has launched a new Aibo robot dog in limited edition Black Sesame, following its last release in 2017.The latest Aibo robot dog comes in a gray coat with four different eye colors: blue, green, orange, and pink. Not only does its appearance resemble the …"
110,2022-02-23T08:05:51Z,HYPEBEAST,Rare Kobe Bryant Precious Metal Gems Emerald Card Sells for Record-Breaking $2 Million USD,"A rare Precious Metal Gems Kobe Bryant card has sold for $2 million USD, officially becoming the most expensive Kobe card to hit the market.The 1997-98 Metal Universe Precious Metal Gems Emerald Kobe Bryant card was brokered last week via PWCC Marketplace. On…"
111,2022-02-23T07:55:59Z,HYPEBEAST,Apple Rumored to Release a New Line of MacBooks and iMacs With M2 Chip,"Apple is set to make its first product launch of 2022 soon and its Mac offerings are at the top of the conversation.According to Bloomberg's Mark Gurman, Apple is planning for a ""slew of upgrades this year."" Since 2020, the major tech company has been shiftin…"
112,2022-02-23T01:41:07Z,Forbes,Wrangler’s 75th Anniversary Celebrates The Metaverse Frontier With Leon Bridges,"Today, Wrangler ® announces first-of-its-kind NFT, that links the metaverse with physical world. To kickstart Wrangler’s 75th Anniversary celebration, the brand is partnering with Grammy- winner Leon Bridges, Wrangler’s 2022 global men’s ambassador,"
113,2022-02-23T01:35:24Z,HYPEBEAST,Cordae Brings His “Futurist” Vision to Life in a New NFT Collection,"A little over a month out from the release of his highly-anticipated sophomore album, From a Birds Eye View, Cordae has already moved on to his next creative project. A self-described “futurist,” the 23-year-old breakout rapper told HYPEBEAST that he is drawn…"
114,2022-02-23T00:56:06Z,HYPEBEAST,Bored Ape Owner Sues OpenSea for $1 Million USD Over “Stolen” NFT,"A man who unknowingly sold his Bored Ape NFT for 0.01 ETH (about $26 USD) is suing OpenSea, claiming that the platform was aware of a bug that allowed hackers to buy NFTs at a fraction of the market price, Decrypt reported.Timothy McKimmy filed the complaint …"
